          Pair     Makespan (%)     Makespan (%)     Number of Actions (%)     Number of Actions (%)     Memory Usage (%)     Memory Usage (%)     Processing Time (%)     Processing Time (%)
        "AT-O"           0.9608           0.3270                    1.9275                    0.1650               0.4602               0.4975                  0.5404                  0.4623
      "AOT-PA"              nan              nan                       nan                       nan                  nan                  nan                     nan                     nan
         "A-O"           1.0714           0.3006                    2.1952                    0.1384               0.1058               0.7450                  0.0964                  0.7562
        "A-PA"              nan              nan                       nan                       nan                  nan                  nan                     nan                     nan
       "AOT-O"           0.5743           0.4486                    0.1170                    0.7323               0.4386               0.5078                  0.1714                  0.6789
       "AO-OT"           0.3443           0.5573                    0.3733                    0.5412               1.6678               0.1966                  0.9874                  0.3204
        "O-CA"           2.4269           0.1193                    4.1846                    0.0408               1.0864               0.2973                  2.0832                  0.1489
        "AO-A"           1.1208           0.2897                    2.8341                    0.0923               1.1490               0.2838                  0.8136                  0.3670
      "AOT-CA"           0.7522           0.3858                    3.0681                    0.0798               0.3942               0.5301                  0.5395                  0.4626
       "CS-PA"              nan              nan                       nan                       nan                  nan                  nan                     nan                     nan
      "AOT-AT"           0.0899           0.7643                    1.2246                    0.2685               0.7412               0.3893                  0.8599                  0.3538
        "OT-O"           0.3354           0.5625                    0.1415                    0.7068               0.2045               0.6511                  0.3415                  0.5590
        "A-CS"           0.8915           0.3451                    0.5807                    0.4460               0.0378               0.8459                  0.0013                  0.9709
       "CA-PA"              nan              nan                       nan                       nan                  nan                  nan                     nan                     nan
      "AOT-OT"           0.0485           0.8257                    0.0006                    0.9805               0.9868               0.3205                  0.6058                  0.4364
        "O-CS"           3.4521           0.0632                    3.7168                    0.0539               0.0009               0.9755                  0.0150                  0.9024
      "AOT-CS"           1.8099           0.1785                    2.8937                    0.0889               0.5958               0.4402                  0.4960                  0.4813
      "CA-CFP"           2.4014           0.1212                    0.6516                    0.4196               7.5391               0.0060                 10.0821                  0.0015
      "OT-CFP"           0.2522           0.6155                    0.1334                    0.7149               0.5606               0.4540                  1.0175                  0.3131
        "AO-O"           0.0000           1.0000                    0.0382                    0.8450               0.9221               0.3369                  0.2637                  0.6076
      "CFP-PA"              nan              nan                       nan                       nan                  nan                  nan                     nan                     nan
       "A-CFP"           0.7382           0.3902                    0.0603                    0.8061               1.3400               0.2470                  1.8925                  0.1689
       "AT-PA"              nan              nan                       nan                       nan                  nan                  nan                     nan                     nan
     "AOT-CFP"           0.4138           0.5201                    0.0834                    0.7727               3.1046               0.0781                  3.4400                  0.0636
       "AO-CA"           2.6162           0.1058                    4.9962                    0.0254               0.1349               0.7134                  0.6300                  0.4273
        "AT-A"           0.0015           0.9694                    0.0059                    0.9388               0.0874               0.7675                  0.1367                  0.7116
       "AT-OT"           0.3273           0.5672                    1.4353                    0.2309               0.0057               0.9399                  0.0057                  0.9399
       "AO-CS"           3.8339           0.0502                    4.7342                    0.0296               0.4770               0.4898                  0.2246                  0.6355
       "OT-PA"              nan              nan                       nan                       nan                  nan                  nan                     nan                     nan
       "CA-CS"           0.2933           0.5881                    0.0162                    0.8986               1.9610               0.1614                  1.8997                  0.1681
       "OT-CA"           1.1477           0.2840                    3.2131                    0.0730               2.4029               0.1211                  3.1590                  0.0755
      "AOT-AO"           0.5909           0.4421                    0.3382                    0.5609               0.0053               0.9418                  0.0009                  0.9767
      "CS-CFP"           3.4118           0.0647                    1.3075                    0.2529               0.5810               0.4459                  1.0096                  0.3150
        "A-OT"           0.3004           0.5837                    1.4339                    0.2311               0.0708               0.7902                  0.0219                  0.8825
      "AO-CFP"           0.0016           0.9686                    0.5025                    0.4784               4.6288               0.0314                  4.4316                  0.0353
       "AO-PA"              nan              nan                       nan                       nan                  nan                  nan                     nan                     nan
        "O-PA"              nan              nan                       nan                       nan                  nan                  nan                     nan                     nan
       "O-CFP"           0.0002           0.9879                    0.4483                    0.5031               1.8274               0.1764                  2.3049                  0.1290
      "AT-CFP"           0.6083           0.4354                    0.0252                    0.8738               0.5000               0.4795                  1.2612                  0.2614
       "OT-CS"           2.1426           0.1433                    2.8752                    0.0900               0.0000               1.0000                  0.0002                  0.9878
       "AT-CA"           0.3058           0.5802                    0.3483                    0.5551               3.7029               0.0543                  4.3472                  0.0371
       "AO-AT"           0.8932           0.3446                    2.3140                    0.1282               2.0274               0.1545                  1.5838                  0.2082
       "AOT-A"           0.1088           0.7416                    1.4341                    0.2311               0.5748               0.4483                  0.4800                  0.4884
       "AT-CS"           0.6949           0.4045                    0.5563                    0.4557               0.0038               0.9511                  0.0085                  0.9267
        "A-CA"           0.3653           0.5456                    0.5554                    0.4561               2.4223               0.1196                  2.8375                  0.0921
