Domain,Problem,CFA,Planner,Tool,Fusion Ratio,Planning Results (%),Makespan (s),Number of Actions,Processing Time (s),Memory Usage (GB)
blocks_world,P01C01,DynamicProgramming,colin2,CFP,0.00,0,52.065,84,381,22.5754585266
blocks_world,P01C02,DynamicProgramming,colin2,CFP,0.00,134,-1,-1,2857,119.950222015
blocks_world,P01C03,DynamicProgramming,colin2,CFP,0.00,0,70.075,87,1722,40.1023025513
blocks_world,P01C04,DynamicProgramming,colin2,CFP,0.00,0,62.058,75,6,0.058895111084
blocks_world,P01C05,DynamicProgramming,colin2,CFP,0.00,0,84.077,86,33,1.00521850586
blocks_world,P01C06,DynamicProgramming,colin2,CFP,0.00,0,55.054,82,62,2.2547492981
blocks_world,P01C07,DynamicProgramming,colin2,CFP,0.00,0,80.069,81,111,2.53966903687
blocks_world,P01C08,DynamicProgramming,colin2,CFP,0.00,0,65.066,83,297,4.12258911133
blocks_world,P01C09,DynamicProgramming,colin2,CFP,0.00,1,-1,-1,4,0.105865478516
blocks_world,P01C10,DynamicProgramming,colin2,CFP,0.00,124,-1,-1,3601,81.5546379089
blocks_world,P02C01,DynamicProgramming,colin2,CFP,0.00,0,40.053,66,40,1.64649200439
blocks_world,P02C02,DynamicProgramming,colin2,CFP,0.00,0,40.039,43,11,0.265872955322
blocks_world,P02C03,DynamicProgramming,colin2,CFP,0.00,0,35.041,49,77,2.50085449219
blocks_world,P02C04,DynamicProgramming,colin2,CFP,0.00,0,55.058,63,3,0.0423316955566
blocks_world,P02C05,DynamicProgramming,colin2,CFP,0.00,0,58.061,74,664,41.3991661072
blocks_world,P02C06,DynamicProgramming,colin2,CFP,0.00,0,42.044,64,3,0.0429573059082
blocks_world,P02C07,DynamicProgramming,colin2,CFP,0.00,124,-1,-1,3602,114.056427002
blocks_world,P02C08,DynamicProgramming,colin2,CFP,0.00,0,42.046,56,1149,35.2531700134
blocks_world,P02C09,DynamicProgramming,colin2,CFP,0.00,124,-1,-1,3602,76.7284584045
blocks_world,P02C10,DynamicProgramming,colin2,CFP,0.00,1,-1,-1,1595,60.3057746887
blocks_world,P03C01,DynamicProgramming,colin2,CFP,0.00,1,-1,-1,139,3.4475479126
blocks_world,P03C02,DynamicProgramming,colin2,CFP,0.00,0,115.119,140,2229,56.4691123962
blocks_world,P03C03,DynamicProgramming,colin2,CFP,0.00,124,-1,-1,3601,57.9987754822
blocks_world,P03C04,DynamicProgramming,colin2,CFP,0.00,1,-1,-1,71,1.65126419067
blocks_world,P03C05,DynamicProgramming,colin2,CFP,0.00,134,-1,-1,2253,119.997741699
blocks_world,P03C06,DynamicProgramming,colin2,CFP,0.00,1,-1,-1,1984,39.0574874878
blocks_world,P03C07,DynamicProgramming,colin2,CFP,0.00,134,-1,-1,2220,119.970058441
blocks_world,P03C08,DynamicProgramming,colin2,CFP,0.00,1,-1,-1,49,0.998378753662
blocks_world,P03C09,DynamicProgramming,colin2,CFP,0.00,134,-1,-1,1972,119.979450226
blocks_world,P03C10,DynamicProgramming,colin2,CFP,0.00,134,-1,-1,2902,119.976165771
blocks_world,P04C01,DynamicProgramming,colin2,CFP,0.00,0,65.059,69,3172,65.4181480408
blocks_world,P04C02,DynamicProgramming,colin2,CFP,0.00,0,40.035,45,10,0.0752983093262
blocks_world,P04C03,DynamicProgramming,colin2,CFP,0.00,134,-1,-1,3082,119.99162674
blocks_world,P04C04,DynamicProgramming,colin2,CFP,0.00,1,-1,-1,1468,24.4264678955
blocks_world,P04C05,DynamicProgramming,colin2,CFP,0.00,134,-1,-1,2500,119.979454041
blocks_world,P04C06,DynamicProgramming,colin2,CFP,0.00,0,84.074,99,373,9.53324127197
blocks_world,P04C07,DynamicProgramming,colin2,CFP,0.00,1,-1,-1,10,0.244987487793
blocks_world,P04C08,DynamicProgramming,colin2,CFP,0.00,134,-1,-1,2161,119.964931488
blocks_world,P04C09,DynamicProgramming,colin2,CFP,0.00,1,-1,-1,181,4.23316955566
blocks_world,P04C10,DynamicProgramming,colin2,CFP,0.00,0,61.053,70,72,0.384887695312
blocks_world,P05C01,DynamicProgramming,colin2,CFP,0.00,0,36.035,49,9,0.443313598633
blocks_world,P05C02,DynamicProgramming,colin2,CFP,0.00,0,86.084,102,221,20.1067390442
blocks_world,P05C03,DynamicProgramming,colin2,CFP,0.00,0,36.046,59,6,0.204544067383
blocks_world,P05C04,DynamicProgramming,colin2,CFP,0.00,0,81.082,90,128,10.8666000366
blocks_world,P05C05,DynamicProgramming,colin2,CFP,0.00,0,51.048,61,74,5.77830505371
blocks_world,P05C06,DynamicProgramming,colin2,CFP,0.00,0,61.066,79,35,2.47296142578
blocks_world,P05C07,DynamicProgramming,colin2,CFP,0.00,0,28.032,52,14,0.379623413086
blocks_world,P05C08,DynamicProgramming,colin2,CFP,0.00,1,-1,-1,19,1.41901016235
blocks_world,P05C09,DynamicProgramming,colin2,CFP,0.00,124,-1,-1,3602,119.023685455
blocks_world,P05C10,DynamicProgramming,colin2,CFP,0.00,1,-1,-1,86,2.73046112061
blocks_world,P06C01,DynamicProgramming,colin2,CFP,0.00,1,-1,-1,4,0.0719299316406
blocks_world,P06C02,DynamicProgramming,colin2,CFP,0.00,1,-1,-1,2,0.0503349304199
blocks_world,P06C03,DynamicProgramming,colin2,CFP,0.00,124,-1,-1,3602,94.2940330505
